Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844448137.008,19.986054066656,0.462228029966354,,
3844448208.5285,19.9998998641968,-4957.1845703125,-0.134210318500046,0.000145744418194093
3844448223.8555,20.000864982605,-4978.82666015625,-0.136803336862235,2.1467997277178E-5
3844448228.1555,20.0011148452759,-4920.49560546875,-0.135266432608329,4.24856678586276E-5
3844448233.124,20.0005149841309,-4845.787109375,-0.133236874633633,4.4988261670079E-5
3844448238.236,20.0003147125244,-4769.29052734375,-0.131195249193185,4.39998206686913E-5
3844448243.223,20.0003042221069,-4695.1181640625,-0.129110898370042,4.29474614515602E-5
3844448248.2525,20.0001983642578,-4619.36840820313,-0.127069339565703,4.37100304803934E-5
3844448253.2025,20.000129699707,-4544.9912109375,-0.125009406897685,4.48322874552136E-5
3844448258.1335,20.0001821517944,-4470.55712890625,-0.122935243982601,4.3757598744658E-5
3844448263.1835,20.0006132125854,-4394.91748046875,-0.12091718973138,4.54958996527557E-5
3844448268.2095,20.000789642334,-4319.306640625,-0.118828475497931,4.37130764858972E-5
3844448273.253,20.0006065368652,-4243.56201171875,-0.116768461816429,4.26087368638709E-5
3844448278.142,20.0007152557373,-4170.041015625,-0.114742531621625,4.16679726040801E-5
3844448283.105,20.0002536773682,-4095.85314941406,-0.112693212961383,4.37050904468286E-5
3844448288.2325,19.9997549057007,-4019.54138183594,-0.110633922617049,4.29501479933178E-5
3844448293.233,20.0000400543213,-3944.52087402344,-0.108587766466777,4.41017496735387E-5
3844448298.2625,20.0001983642578,-3868.95239257812,-0.106521015909536,4.30089955651798E-5
3844448303.229,19.9998054504395,-3794.04296875,-0.104460447896481,4.23498197235782E-5
3844448308.17,20.0003643035889,-3720.62768554687,-0.102422253499579,4.23148163165739E-5
3844448313.0805,20.00075340271,-3647.22131347656,-0.100366328265666,4.26832028564487E-5
3844448318.1615,19.9995822906494,-3570.69177246094,-0.0983269858196159,4.28177110185151E-5
3844448323.0705,19.9998044967651,-3497.16430664063,-0.0962649041692366,4.32378289908218E-5
3844448328.091,20.0011034011841,-3422.21862792969,-0.0942195682392324,4.25268314568205E-5
3844448333.1655,20.0009365081787,-3345.87878417969,-0.0921754277953215,4.32160577474809E-5
