Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844413434.238,3.0020937508929,-4999.93798828125,,
3844413513.9685,3.00095987319946,-4999.86694335937,-0.281210811001929,2.40798519755127E-5
3844413529.66,2.99804663658142,-4984.77661132812,-0.281089075258356,3.12463907343393E-5
3844413533.9035,2.99979317188263,-4931.73559570313,-0.278515615287305,8.27855177117937E-5
3844413539.026,3.00062572956085,-4855.52172851562,-0.274475266647848,9.05378870358123E-5
3844413543.9985,3.00254452228546,-4780.64965820313,-0.270386229132202,8.49788977092902E-5
3844413548.9975,3.00342428684235,-4705.712890625,-0.266297065433802,8.7152690243098E-5
3844413554.054,3.00376176834106,-4630.01586914063,-0.262189045723625,9.027402859066E-5
3844413558.942,2.99677717685699,-4556.42895507812,-0.258189218551716,8.43773490259504E-5
3844413563.928,2.99910855293274,-4481.27368164063,-0.254030660816335,8.64202362314869E-5
3844413568.9275,3.00571584701538,-4407.16455078125,-0.249813029736531,8.41864169855767E-5
3844413574.05,2.99887788295746,-4329.90649414063,-0.245801263090572,8.926791206353E-5
3844413578.925,2.99959790706634,-4256.4765625,-0.241611569143168,8.77707521437795E-5
3844413583.87,2.99612712860107,-4183.03271484375,-0.237495307834944,8.36471480875952E-5
3844413588.968,2.99622666835785,-4106.62707519531,-0.233411713923752,8.78076652590171E-5
3844413593.958,2.99953353404999,-4031.76257324219,-0.229212671398312,8.81813726058562E-5
3844413598.8825,2.99857473373413,-3958.3486328125,-0.225200879961015,8.67967581492456E-5
3844413603.964,2.99901282787323,-3881.26892089844,-0.221023133809301,8.81411037286855E-5
3844413608.8895,3.00448083877563,-3807.76574707031,-0.216831129129441,8.72544462053425E-5
3844413613.876,3.00209164619446,-3732.919921875,-0.212707039914456,8.23492871577E-5
3844413618.983,2.99718201160431,-3656.57421875,-0.208579435444325,8.56875504527058E-5
3844413623.8675,2.99848866462708,-3583.80786132812,-0.20440807117897,8.82701023520617E-5
3844413628.9485,3.00261700153351,-3507.34851074219,-0.200208671218797,8.53063963730142E-5
3844413633.8545,3.00117981433868,-3433.95471191406,-0.196051735888767,8.83140211371416E-5
3844413638.9495,2.99577915668488,-3357.47216796875,-0.191867485155916,8.30905580604229E-5
3844413643.9155,2.99231946468353,-3283.02197265625,-0.187738743403842,8.69947755455552E-5
3844413648.928,2.99886083602905,-3207.18908691406,-0.183532829599254,8.56561129003944E-5
3844413653.9035,2.99896085262299,-3133.04260253906,-0.179324856919102,8.73180049933219E-5
3844413658.8565,2.99753320217133,-3058.86572265625,-0.175122960701147,8.71574392307137E-5
3844413663.8925,2.99844837188721,-2983.90222167969,-0.170940763834845,8.76615101027945E-5
3844413668.813,3.00017523765564,-2908.80859375,-0.16671362893014,8.93152401247332E-5
3844413673.886,2.99514067173004,-2833.09045410156,-0.16252775825796,8.58647165543883E-5
3844413678.877,2.99823820590973,-2758.17578125,-0.15835788435602,8.83030820656638E-5
3844413683.7825,3.001016497612,-2684.71740722656,-0.154081865250485,8.80293087892523E-5
3844413688.796,3.00017368793488,-2609.55615234375,-0.149836734369349,8.73078266381181E-5
3844413693.822,2.99837350845337,-2533.71936035156,-0.14561864695629,8.48764507076717E-5
3844413699.0105,2.99502611160278,-2456.54284667969,-0.141417103201,8.54246126450463E-5
3844413703.857,2.9988431930542,-2383.87634277344,-0.137200056188949,8.74610056347657E-5
3844413708.939,3.00113415718079,-2307.36840820313,-0.132972899412188,8.83236063169804E-5
3844413713.877,3.00351297855377,-2233.05969238281,-0.128690891921022,8.72491937834714E-5
3844413718.802,3.00234615802765,-2159.61242675781,-0.124463640329006,8.57075683049474E-5
3844413723.9075,3.00021636486053,-2083.28747558594,-0.120206821082633,8.73413998068456E-5
3844413728.7815,3.00189113616943,-2010.66125488281,-0.115992123686159,8.73834287482649E-5
3844413733.9255,3.00253117084503,-1933.08489990234,-0.111725250534439,8.71103674920707E-5
3844413738.8075,3.00323522090912,-1859.61151123047,-0.107492771194107,8.63817935012524E-5
3844413743.748,3.0052136182785,-1785.39056396484,-0.103221476783437,8.83537507514987E-5
3844413748.803,3.00175523757935,-1709.70208740234,-0.0989478556838023,8.63205762230611E-5
3844413753.7685,2.99660992622375,-1635.54534912109,-0.0946876175863607,8.76643507306174E-5
3844413758.9135,2.99817252159119,-1558.25384521484,-0.090411104211468,8.78203035763481E-5
3844413763.8125,2.99532067775726,-1484.08276367187,-0.0861668157979033,8.62386564736843E-5
3844413768.875,2.99880290031433,-1409.14581298828,-0.0818977759153836,8.82297857981411E-5
3844413773.882,3.00180065631866,-1333.50921630859,-0.0776164419110857,8.82321477143151E-5
3844413778.823,2.99463760852814,-1259.34332275391,-0.0733548612940226,8.80289720740761E-5
3844413783.7435,2.99499249458313,-1185.96380615234,-0.0690723105292429,8.81119465182712E-5
3844413788.8505,3.00011086463928,-1109.58245849609,-0.0647873260627941,8.68633625560381E-5
3844413793.7675,2.99984216690063,-1035.40539550781,-0.0605326058529121,8.66796789374177E-5
3844413798.7905,3.0018265247345,-960.398101806641,-0.0562561992443532,8.75236592369803E-5
3844413803.773,3.00574135780334,-886.138092041016,-0.051959091251765,8.73307660488316E-5
3844413808.7285,3.00471174716949,-811.14892578125,-0.0476789603097413,8.78102512915794E-5
3844413813.7925,3.00153911113739,-734.763702392578,-0.0433908029824138,8.76309516746025E-5
3844413818.7885,2.99689722061157,-660.314270019531,-0.0391003751731212,8.7168270418646E-5
3844413823.809,2.99705255031586,-585.178955078125,-0.0347868878047552,8.79880001071739E-5
3844413836.9635,2.9965078830719,-388.056365966797,-0.0261991768100484,8.72841605248842E-5
3844413839.1085,2.99858903884888,-355.169342041016,-0.0219063691661334,8.79197724982083E-5
3844413843.8345,2.99829018115997,-284.628814697266,-0.0176055026776649,8.76854038997969E-5
3844413848.802,2.9966037273407,-210.474166870117,-0.0133132169955716,8.78360278190876E-5
3844413853.733,2.99794542789459,-136.333240509033,-0.00901415188441193,8.76466889259828E-5
3844413858.8065,2.99759328365326,-59.8467311859131,-0.00471807966162919,8.7720093813373E-5
3844413863.7955,3.00152087211609,14.4173860549927,-0.000416971174904209,7.85214193523346E-5
3844413876.7235,3.00222444534302,208.640884399414,0.00821563022133444,8.82363532551634E-5
3844413878.9765,2.99768781661987,241.576850891113,0.0125367560278209,8.8223424014067E-5
3844413891.7615,3.00486135482788,434.233352661133,0.021163591813772,8.79797837183639E-5
3844413893.9785,3.00652372837067,467.226348876953,0.0254765280752107,8.82348864422152E-5
3844413898.749,3.00232696533203,539.177352905273,0.0297865538131424,8.85020847240866E-5
3844413903.658,2.99662613868713,612.808288574219,0.0340982297635294,8.82318197775118E-5
3844413908.7675,3.0024299621582,689.365234375,0.0384006989985352,8.80972517660618E-5
3844413913.703,2.99630129337311,762.905578613281,0.0427091741078717,8.87033593129861E-5
3844413918.714,2.99809455871582,838.613067626953,0.0470269061937479,8.82322444987493E-5
3844413923.649,3.00061428546906,911.947479248047,0.0513227203961164,8.76227501055457E-5
3844413928.624,2.99746131896973,986.873748779297,0.0556164266475,8.88070803737289E-5
3844413933.649,2.99846541881561,1061.91174316406,0.0599141246276032,8.78294095428315E-5
3844413938.66,2.99941027164459,1137.60528564453,0.0642073323657658,8.77350150678938E-5
3844413943.5865,3.00090372562408,1211.04956054688,0.0684832000912315,8.83641929279929E-5
3844413948.689,2.99959886074066,1287.39715576172,0.072772291857061,8.84430598541249E-5
3844413953.637,2.99880790710449,1361.47308349609,0.0770607653722685,8.7299299387878E-5
3844413958.781,2.99955093860626,1438.74395751953,0.0813363813573336,8.71358388907561E-5
3844413963.658,3.00006806850433,1512.20727539062,0.0856307466478859,8.85149149249111E-5
3844413968.588,2.99842143058777,1585.62609863281,0.0899171627332749,8.75153553872309E-5
3844413973.639,3.00320887565613,1661.37072753906,0.0941797273334844,8.64311690652502E-5
3844413978.579,3.00460517406464,1735.58270263672,0.098477255096848,8.92999764136552E-5
3844413991.6355,3.00435161590576,1931.28479003906,0.107036839357403,8.60257902980396E-5
3844413993.861,3.00258040428162,1964.50329589844,0.111270789794521,8.79175420523666E-5
3844413998.618,2.99859023094177,2036.59686279297,0.115554708055245,8.86821685791078E-5
3844414003.6105,2.99772584438324,2111.61010742187,0.119846650488074,8.68382564662575E-5
3844414008.7045,2.99934184551239,2187.298828125,0.124077007646242,8.81274614257707E-5
3844414013.593,3.00111675262451,2261.43823242187,0.128360193047789,8.86910210249643E-5
3844414018.681,3.00383818149567,2337.0322265625,0.132607814162051,8.73830523340736E-5
3844414023.5985,3.00083386898041,2410.48742675781,0.136813248443759,8.64623985736844E-5
3844414028.678,2.99582147598267,2487.04162597656,0.141061869004837,8.90848118753486E-5
3844414033.6465,3.00109243392944,2561.24279785156,0.14526709968983,8.75364039140564E-5
3844414038.6485,3.0087913274765,2636.29125976562,0.149497212700873,8.80978273295808E-5
3844414043.5315,3.00498485565186,2709.81286621094,0.153704732232344,8.66711531655084E-5
3844414048.552,3.00066232681274,2785.63879394531,0.157965839274103,8.80307455288555E-5
3844414053.5305,2.99941027164459,2859.89526367187,0.162175495211686,8.67020249927609E-5
3844414058.54,2.9973167181015,2935.57299804687,0.166425208622202,8.80777899099822E-5
3844414063.6475,2.99780344963074,3011.99499511719,0.17063637218363,8.64335075322659E-5
3844414068.6795,2.99943053722382,3087.005859375,0.174822123506466,8.51663640454045E-5
3844414073.5775,3.00472319126129,3160.48132324219,0.178974228693102,8.51468341218958E-5
3844414078.5725,3.00737714767456,3234.76684570313,0.183174852113951,8.80457822041812E-5
3844414083.4985,3.00053954124451,3309.97937011719,0.18734307173487,8.6127296215199E-5
3844414088.5945,2.99630057811737,3386.45031738281,0.191590062254249,8.63849990353999E-5
3844414093.498,3.00164914131165,3459.1689453125,0.195751309430755,8.50563021769181E-5
3844414098.5805,3.00294315814972,3535.73767089844,0.199915282803306,8.80510057102179E-5
3844414103.556,2.99830198287964,3610.6455078125,0.20411032063994,8.6288577934194E-5
3844414108.4825,2.99627506732941,3684.07092285156,0.208309816958988,8.65451791088527E-5
3844414113.5255,2.99977827072144,3760.57678222656,0.212415770174247,8.4568946380484E-5
3844414118.6045,3.0013952255249,3836.31982421875,0.21652934823844,8.38295176836665E-5
3844414123.6525,3.00493824481964,3911.91198730469,0.220691962218883,9.16106422775163E-5
3844414128.553,2.99866449832916,3985.017578125,0.224819169581712,8.45975185773604E-5
3844414133.4655,2.99666798114777,4058.38317871094,0.228935793806257,8.51837286957602E-5
3844414138.524,3.00027179718018,4134.23120117188,0.233035408030631,8.7614494544606E-5
3844414143.458,3.00265920162201,4208.57592773438,0.23713450835453,8.8081482592373E-5
3844414148.552,3.00098466873169,4284.978515625,0.241289166726548,8.55129128427662E-5
3844414153.5655,2.99930322170258,4359.95703125,0.245441929579169,9.05148618388518E-5
3844414158.5255,3.00135898590088,4434.12548828125,0.249529015632881,8.51643156913382E-5
3844414163.574,3.00676774978638,4510.19067382812,0.253584084017518,8.8784991355823E-5
3844414168.4425,3.0041788816452,4583.75146484375,0.2576905048053,8.52796127765334E-5
3844414173.528,3.00177907943726,4660.0234375,0.261740763456072,8.72256142120064E-5
3844414178.5185,2.99635195732117,4734.3359375,0.265848504654677,8.72555529902649E-5
3844414183.446,2.99864959716797,4807.82299804687,0.27001268945505,8.73411974855592E-5
3844414188.504,3.0010941028595,4884.26245117188,0.273993499825726,8.59048687573995E-5
3844414193.5495,3.00256586074829,4960.02612304687,0.278067918884334,8.51055441511811E-5
3844414198.4345,3.00332069396973,5033.50317382812,0.282092597117045,8.73796902632983E-5
3844414203.5225,2.99614095687866,5109.2197265625,0.28613665088341,9.04484701925623E-5
3844414208.4595,2.9949404001236,5183.74389648438,0.290233660373178,8.43539928813381E-5
3844414213.479,2.99959707260132,5259.31909179687,0.294231891939274,8.44805683661593E-5
3844414218.3865,3.00321626663208,5332.12036132812,0.298266191648413,8.81064290964837E-5
