Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844329729.21,2.00255791995437,1000.29693603516,,
3844330045.231,1.99842417240143,1000.43923950195,0.0578959921494492,1.2306961153246E-6
3844330185.2025,3.0008659362793,1000.39477539062,0.0568313349627836,1.54474792169227E-6
3844330325.095,4.00184488296509,1000.39477539062,0.0546954218907102,7.82144966041905E-7
3844330345.76,4.0086586457574,1000.33251953125,,
3844330465.1145,4.99982905387878,1000.32363891602,0.0523579463584494,1.19709342037745E-6
3844330574.846,6.00165605545044,1000.3147277832,0.0502152591273362,1.24698164709779E-6
3844330684.8815,6.99974632263184,1000.3503112793,0.0482686444561935,1.05894652636549E-6
3844330804.7315,7.99992918968201,1000.31478881836,0.0464874049382103,9.18305869872225E-7
3844330924.5845,8.99950218200684,1000.29693603516,0.044853317762766,8.21624465559342E-7
3844330965.393,10.0714255008546,1000.27923583984,,
3844331034.6785,9.99972486495972,1000.44812011719,0.0433326905419374,1.02390944821129E-6
3844331154.492,10.9995460510254,1000.44812011719,0.0419193494843105,9.93128828672559E-7
3844331264.3515,12.0002899169922,1000.50146484375,0.040604540090019,8.51164987644095E-7
3844331384.286,12.9997444152832,1000.43920898438,0.0393831731426789,6.64424205070484E-7
3844331504.2375,13.9993205070496,1000.40365600586,0.0382291170960769,7.85787017743813E-7
3844331584.484,14.9873011778315,1000.58142089844,,
3844331864.068,14.9968671798706,1000.56362915039,0.0371129183168159,7.14597253304891E-7
3844331973.8715,15.9966382980347,1000.49255371094,0.0360489054135255,8.50133237128457E-7
3844332083.776,16.9956426620483,1000.44812011719,0.0350323532286287,6.58471987470588E-7
3844332204.08,17.9884196539903,1000.47479248047,,
3844332232.7675,17.9986686706543,1000.54586791992,0.0340545739574328,1.06024161228674E-6
3844332333.586,18.9944505691528,1000.47479248047,0.0331422663314402,6.13440068263114E-7
3844332443.545,19.9932231903076,1000.51919555664,0.0322649060809562,7.61563145181038E-7
3844332553.397,20.9922008514404,1000.47479248047,0.0314345983034491,5.25957247450744E-7
3844332663.4135,21.9911947250366,1000.54583740234,0.0306552951966383,1.01770128849109E-6
3844332773.368,22.9895610809326,1000.58145141602,0.0299057673049538,7.39362219284178E-7
3844332823.428,24.0175622245097,1000.56365966797,,
3844332883.217,23.9880905151367,1000.49255371094,0.0291817735812519,6.38483798359215E-7
3844333003.144,24.9890899658203,1000.51031494141,0.0284946325377706,7.67814924555068E-7
3844333122.948,25.9880084991455,1000.52810668945,0.0278418524770645,7.48360488573158E-7
3844333242.9235,26.9860610961914,1000.51031494141,0.0272148585689455,6.7503919536429E-7
3844333362.774,27.983814239502,1000.43923950195,0.0266163455343205,7.32291698265526E-7
3844333443.568,28.9646339615451,1000.54583740234,,
3844333475.0535,28.9805326461792,1000.50146484375,0.026037635019614,8.87604547740229E-7
3844333582.615,29.9782810211182,1000.58142089844,0.0254868129725226,4.59285037600616E-7
3844333692.6585,30.9770259857178,1000.51031494141,0.0249549814434092,6.01121173898182E-7
3844333802.4615,31.9744138717651,1000.50146484375,0.0244456393272715,6.97782171536516E-7
3844333912.506,32.9729290008545,1000.51037597656,0.0239563084820657,6.79225231357273E-7
3844334022.3955,33.970178604126,1000.43032836914,0.0234865009678526,5.30633850273232E-7
3844334062.708,34.9261201735182,1000.49255371094,,
3844334132.253,34.9675941467285,1000.53698730469,0.0230320373359166,2.86618530876144E-7
3844334242.1905,35.9649047851562,1000.58142089844,0.0225981316661131,3.36769655161576E-7
3844334352.0845,36.9632015228271,1000.51922607422,0.0221796418674994,4.38096291949526E-7
3844334462.095,37.9607601165771,1000.61700439453,0.0217744814443456,5.76111422505151E-7
3844334571.9565,38.9602546691895,1000.46591186523,0.0213823954989028,6.47007606412859E-7
3844334682.338,39.9519448629042,1000.58142089844,,
3844334714.152,39.9716053009033,1000.49255371094,0.0209986743394422,4.01925791944258E-7
3844334821.756,40.9579200744629,1000.50143432617,0.0206393319177852,3.13241924465083E-7
3844334931.6915,41.95627784729,1000.49255371094,0.0202901838054697,3.6977422457297E-7
3844335041.6075,42.9556503295898,1000.44812011719,0.0199530974441169,5.79854969746581E-7
3844335151.6205,43.9499702453613,1000.47479248047,0.0196294444400753,3.50905546432581E-7
3844335261.378,44.950891494751,1000.41256713867,0.0193127245488869,5.06477232253618E-7
3844335301.668,45.6376342987408,1000.42144775391,,
3844335371.383,45.9460773468018,1000.39477539062,0.0190053510428712,5.09025600736544E-7
3844335481.205,46.9419326782227,1000.45703125,0.0187103404096875,6.67959809079448E-7
3844335601.1405,47.9442558288574,1000.49255371094,0.0184234088578905,2.21913794565456E-7
3844335721.183,48.9429759979248,1000.40365600586,0.0181430970247921,5.90167955207132E-7
3844335841.024,49.941370010376,1000.4836730957,0.017872984191885,2.67048456936073E-7
3844335890.9685,49.9595928192139,1000.43032836914,0.0178646615939818,3.11394626432709E-7
3844335923.568,50.3790636839223,1000.38586425781,,
3844336100.873,54.9853534698486,1000.41256713867,0.0166152895796544,3.95952380801196E-7
3844336310.607,59.9702568054199,1000.41256713867,0.0155481234400454,3.50933143306849E-7
3844336371.305,63.4539449816683,1000.36810302734,,
3844336520.4365,64.9756507873535,1000.4836730957,0.0145992880166281,4.5861433574764E-7
3844336730.2765,69.9846649169922,1000.50143432617,0.0137601788484438,3.20061641424847E-7
3844336810.872,74.8342349739932,1000.47479248047,,
3844336940.1755,74.9960556030273,1000.40365600586,0.0130116735112748,3.9450784441149E-7
3844337150.112,80.0210838317871,1000.50143432617,0.0123391148816132,3.96934535544206E-7
3844337250.153,85.3181050390624,1000.42144775391,,
3844337359.8125,85.0384979248047,1000.46591186523,0.0117325619306177,2.27323712257055E-7
3844337569.656,90.0482025146484,1000.44812011719,0.011181963204869,3.53597498226214E-7
3844337690.377,95.3897167900545,1000.42144775391,,
3844337789.531,95.0297088623047,1000.44812011719,0.0106853916628731,2.011642509199E-7
3844338009.3965,100.016185760498,1000.43032836914,0.0102288829986801,3.53987999171799E-7
3844338229.291,104.995216369629,1000.47479248047,0.00981070311502326,1.91389086303032E-7
3844338289.422,107.290276654836,1000.47479248047,,
3844338448.998,109.957572937012,1000.51031494141,0.00943080642639501,2.48556442197726E-7
3844338668.928,114.94474029541,1000.46591186523,0.00907208636263621,2.62591228597034E-7
3844338749.891,119.186809171205,1000.43920898438,,
3844338898.791,119.931926727295,1000.4836730957,0.00873686097229165,2.92025384337228E-7
3844339128.528,124.914791107178,1000.36810302734,0.00842513436598219,1.76816838307834E-7
3844339229.284,129.759977553372,1000.43920898438,,
3844339358.365,129.901504516602,1000.42144775391,0.00813696268020794,2.52900698913129E-7
3844339588.153,134.874412536621,1000.53695678711,0.00786618767732628,1.75665010067451E-7
3844339718.52,139.840596529546,1000.45703125,,
3844339827.9835,139.865203857422,1000.51031494141,0.00761054979506874,2.54056094681028E-7
3844340057.932,144.851951599121,1000.47479248047,0.00737307383825276,1.501681231921E-7
3844340297.6595,149.842414855957,1000.41256713867,0.00714532429228938,1.1445589351011E-7
3844340318.699,149.849312288414,1000.51037597656,,
3844340567.4805,154.829322814941,1000.45703125,0.00693678912411256,1.97942705382073E-7
3844340807.3005,159.808288574219,1000.46588134766,0.00673615754854877,2.11658287178785E-7
3844340857.878,160.575656051883,1000.51037597656,,
3844341057.107,164.796760559082,1000.56369018555,0.00654756322333387,1.75064810898395E-7
3844341306.889,169.793640136719,1000.52810668945,0.00636618720834361,1.58268426337831E-7
3844341377.577,172.325848529082,1000.54583740234,,
3844341556.6835,174.780349731445,1000.53695678711,0.00619871459259868,1.91434237605828E-7
3844341806.5105,179.771392822266,1000.50146484375,0.00603693554372688,1.4081008905214E-7
3844341897.184,183.814123786167,1000.52807617187,,
3844342066.336,184.771492004395,1000.58142089844,0.00588401570573854,2.07477767961109E-7
3844342326.1805,189.766891479492,1000.55474853516,0.0057374712434369,1.2102364022475E-7
3844342436.751,194.43966511177,1000.52807617187,,
3844342586.0305,194.767349243164,1000.61700439453,0.00559979904249139,1.58003485065726E-7
