Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844361332.0495,399.578811645508,1000.55474853516,0.00278387949579856,1.3304233359656E-7
3844361581.8455,394.97737121582,1000.4836730957,0.00280887362946162,1.5352703029729E-7
3844361623.841,394.351833222988,1000.49255371094,,
3844361821.7095,389.984909057617,1000.48364257813,0.00285061817842898,1.38800987447585E-7
3844362071.475,384.979446411133,1000.36810302734,0.00289226981166358,1.38727267371402E-7
3844362133.247,383.375375687535,1000.45703125,,
3844362321.372,380.014831542969,1000.47479248047,0.00293456080981728,1.48084807604919E-7
3844362571.1495,375.041870117188,1000.43923950195,0.00297629221552998,1.47290082844682E-7
3844362653.008,372.388712908542,1000.47479248047,,
3844362830.898,370.025802612305,1000.51031494141,0.00301943235112785,1.20895038267029E-7
3844363090.8145,365.049346923828,1000.5725402832,0.00306204986984916,1.41296649751382E-7
3844363192.297,361.762091632066,1000.56365966797,,
3844363350.6625,360.069137573242,1000.37698364258,0.00310412445968199,1.13559749182634E-7
3844363610.3305,355.098403930664,1000.34143066406,0.00314748743072355,1.07225636396922E-7
3844363741.873,351.336126569274,1000.43920898438,,
3844363880.185,350.083206176758,1000.37701416016,0.00319047705404595,1.25321294681548E-7
3844364149.9525,345.106109619141,1000.34143066406,0.00323581195219658,1.53242043589796E-7
3844364301.677,341.054839948293,1000.40368652344,,
3844364429.819,340.090103149414,1000.33251953125,0.00327950550552618,1.43749821206757E-7
3844364709.512,335.111541748047,1000.15475463867,0.00332147863231368,1.08043056757129E-7
3844364881.176,330.846675564735,1000.15478515625,,
3844364989.335,330.130020141602,1000.24368286133,0.00336415411177099,1.28554144846112E-7
3844365269.1995,325.151412963867,999.94140625,0.00339056293136772,1.01851475482705E-7
3844365470.985,320.618126306301,999.870300292969,,
3844365558.8925,320.130661010742,999.89697265625,0.00344523723692998,9.58613292287756E-8
3844365848.7505,315.143493652344,999.825897216797,0.00349707119781395,1.36675508304639E-7
3844366070.356,310.500426815787,999.834777832031,,
3844366138.566,310.157806396484,999.89697265625,0.00355219215142677,1.30594840344673E-7
3844366428.222,305.171142578125,999.861419677734,0.00360750279277364,1.26766005881511E-7
3844366669.803,300.399970208714,999.905883789063,,
3844366718.0925,300.183700561523,999.816986083984,0.00366629556006977,1.21799400408398E-7
3844367007.8575,295.193420410156,999.808135986328,0.00372614951823739,1.22728323587976E-7
3844367269.324,290.30814609944,999.834777832031,,
3844367300.2035,290.183700561523,999.914733886719,0.00379150150060172,1.15214094110127E-7
3844367587.453,285.198486328125,1000.04809570312,0.0038568220129647,1.01292132783927E-7
3844367868.704,280.239768013984,1000.04815673828,,
3844367899.781,280.136932373047,1000.10144042969,0.00392797503567459,1.36991387313286E-7
3844368187.0345,275.204559326172,999.950317382813,0.00399813619716089,1.24393220129175E-7
3844368488.158,270.18009724409,999.870300292969,,
3844368516.7435,270.103912353516,999.8525390625,0.00407949252430087,1.10783837490906E-7
3844368796.55,265.197891235352,999.959228515625,0.00414369229011331,2.99874581711717E-7
3844369107.991,260.156494114632,999.8525390625,,
3844369136.6465,260.084320068359,999.959228515625,0.0042190290428521,9.27010294848798E-7
3844369426.0235,255.178062438965,1000.11920166016,0.00429764785300826,8.51015327371878E-7
3844369727.271,250.18659686527,1000.06591796875,,
3844369758.384,250.100364685059,1000.12808227539,0.00438471229035502,8.38700991302915E-7
3844370055.5535,245.178016662598,1000.0481262207,0.00446948791791407,3.24889105762615E-7
3844370346.882,240.21261401762,1000.08361816406,,
3844370377.9325,240.119529724121,1000.14587402344,0.00456205638967313,2.64038859036524E-7
3844370675.098,235.181900024414,1000.05703735352,0.00465234957755241,1.28142789809129E-7
3844370966.248,230.218388683962,1000.17254638672,,
3844370997.4605,230.129005432129,1000.14587402344,0.00474850907874179,2.71733314178803E-7
3844371294.616,225.187812805176,1000.1369934082,0.00484780204835699,9.67367012330042E-8
3844371585.435,220.230722999725,1000.11920166016,,
3844371616.6885,220.135406494141,1000.11920166016,0.00495657682160327,1.6675038618326E-7
3844371914.157,215.197723388672,1000.14587402344,0.00506366174374396,1.31210650356308E-7
3844372205.107,210.236742629136,1000.15478515625,,
3844372236.316,210.146438598633,1000.14587402344,0.00517763922299614,1.1203244449805E-7
3844372533.7335,205.205299377441,1000.11032104492,0.0052966951718391,1.31757551529625E-7
3844372824.753,200.25010343383,1000.15478515625,,
3844372856.032,200.159530639648,1000.08361816406,0.00542419066266969,1.65397215997891E-7
3844373153.321,195.220039367676,1000.17254638672,0.00555273010552822,1.50944849646846E-7
3844373443.996,190.25573204016,1000.10144042969,,
3844373475.3055,190.162162780762,1000.11920166016,0.00569196519100983,1.3605815032119E-7
3844373772.7665,185.214546203613,1000.1103515625,0.00582022820988452,1.24861793713294E-7
3844374063.447,180.256527748577,1000.36810302734,,
3844374094.9835,180.157249450684,1000.22589111328,0.00599042684283261,1.59786007389041E-7
3844374392.3145,175.203407287598,1000.18142700195,0.00614929681137382,1.74464374654928E-7
